coin,cluster_id,t_start,t_end,deficit_usd,total_capacity_usd,budget_queue_usd,overshoot_queue_usd,residual_queue_usd
KSHIB,2,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,18310.12667643213,490.399950938763,490.399950938763,0.0
KSHIB,3,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,14266.731455718884,4519.816577889456,4519.816577889456,0.0
KSHIB,4,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,719470.5082500001,41197.4745,41197.4745,0.0
KSHIB,5,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,438242.8032810067,20.911612879730217,20.911612879730217,0.0
LAUNCHCOIN,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,521.0024889999986,801149.4606110001,735644.5340260001,735123.5315370001,0.0
LAUNCHCOIN,2,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,24883.164813999996,71775.65278199999,52983.439245999994,28100.274432,0.0
LAUNCHCOIN,3,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,349727.814121,338951.974699,338951.974699,0.0
LAUNCHCOIN,4,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,14757.436749999999,6559.701916,6559.701916,0.0
LAUNCHCOIN,5,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,237952.14491673873,208884.16649573873,208884.16649573873,0.0
LAUNCHCOIN,6,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,120930.15274999998,31943.52577,31943.52577,0.0
LAUNCHCOIN,7,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,581536.2494200242,244915.72355748966,244915.72355748966,0.0
LAUNCHCOIN,8,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,597491.0941269393,431489.5232899395,431489.5232899395,0.0
LAYER,1,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,1685.64716,0.0,0.0,0.0,1685.64716
LAYER,2,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,27350.814738,24330.244487999997,24330.244487999997,0.0
LDO,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,0.0,1879759.629062,1763966.3406260004,1763966.3406260004,0.0
LDO,2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,79039.705326,7431.099045999999,7431.099045999999,0.0
LDO,3,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,113453.25575999996,509.837355,509.837355,0.0
LDO,4,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,153434.613962,135374.456408,135374.456408,0.0
LDO,5,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:53.827000+00:00,0.0,553333.1869348828,785.1628180447547,785.1628180447547,0.0
LDO,6,2025-10-10 21:19:03.101000+00:00,2025-10-10 21:19:03.101000+00:00,0.0,316909.2550368479,215.80744095049903,215.80744095049903,0.0
LDO,7,2025-10-10 21:19:12.705000+00:00,2025-10-10 21:19:12.705000+00:00,0.0,180009.58681570692,92863.66907359638,92863.66907359638,0.0
LDO,8,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,441081.56712936895,96258.61920243686,96258.61920243686,0.0
LDO,9,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,204157.19768644168,142049.92524973687,142049.92524973687,0.0
LDO,10,2025-10-10 21:19:34.026000+00:00,2025-10-10 21:19:34.026000+00:00,0.0,6401.767809078752,755.690570974123,755.690570974123,0.0
LDO,11,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,4064.7063941189217,149.43742254013415,149.43742254013415,0.0
LDO,12,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,10434.129478358771,268.55622422672883,268.55622422672883,0.0
LDO,13,2025-10-10 21:22:29.511000+00:00,2025-10-10 21:22:29.511000+00:00,0.0,1612.893366172441,1509.0333175512103,1509.0333175512103,0.0
LINEA,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,7.363786999999391,2785736.446541,2630969.854359,2630962.490572,0.0
LINEA,2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,11369.647558000775,986.22771,986.226081,0.0,10383.421477000775
LINEA,3,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,189058.15987999996,46364.09298,46364.09298,0.0
LINEA,4,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,20672.693673000773,62982.274660122974,62554.23698735214,41881.543314351366,0.0
LINEA,5,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,386821.227429,370358.735973,370358.735973,0.0
LINEA,6,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,32743.993485000003,4837.670163000001,4837.670163000001,0.0
LINEA,7,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,1000910.6477758115,84256.17961385858,84256.17961385858,0.0
LINEA,8,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,97022.33636,31647.046706999998,31647.046706999998,0.0
LINEA,9,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,1030077.5252109063,10919.216852049272,10919.216852049272,0.0
LINEA,10,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,448978.80306253623,133529.01935916106,133529.01935916106,0.0
