user,n_adl_events,median_latency_ms,share_any_nonadl_fill_5000ms,mean_undo_frac_5000ms,share_any_nonadl_fill_60000ms,mean_undo_frac_60000ms,share_any_nonadl_fill_300000ms,mean_undo_frac_300000ms,strategic_score
0x686057cefd4f98136870385232e6b175ec4ad9d4,14,9404.0,0.14285714285714285,0.10259488410748915,1.0,1.0,1.0,1.0,1.0
0xe13c095580cf6fcb9c087308668062b76b4939e2,9,2995.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0
0xd2e1acc0839231a039fb35e646870f276131a46b,8,582.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0x4cf1aa03b2ee27f922c2b089dc9f7d3a2551e717,5,32118.0,0.4,0.0517905102954342,1.0,1.0,1.0,1.0,1.0
0x6574434d929ff7f12f5787ebf9a71cdd303dc98a,7,38421.0,0.0,0.0,1.0,0.9714108965578189,1.0,1.0,0.9714108965578189
0xbcbb6a6a8499d6c5e502307e281d41fccc7b834c,6,50822.0,0.0,0.0,1.0,0.9693151324232878,1.0,1.0,0.9693151324232878
0x452e0a03ab55c67319e66e5a5816eceac41226a4,12,12652.0,0.0,0.0,1.0,0.9216830466830467,1.0,1.0,0.9216830466830467
0x727956612a8700627451204a3ae26268bd1a1525,6,2187.0,0.6666666666666666,0.3333333333333333,1.0,0.9152742835951048,1.0,1.0,0.9152742835951048
0x25a45b2d03d9145a1bd4463f9545a885dd2df2b9,8,962.0,0.875,0.7823899354488297,1.0,0.8935105838820614,1.0,1.0,0.8935105838820614
0xcb525be5530b95a1f3b2056f380ad3be61a648ea,13,9943.0,0.3076923076923077,0.0,1.0,0.848594515075752,1.0,1.0,0.848594515075752
0xbc0c231f9381b1e841c0508d88da2640cc802afb,8,16218.0,0.0,0.0,0.875,0.8321068901158721,1.0,0.9571068901158721,0.7280935288513881
0x25d2ccf8e2c0e136fff41d3b35bf6f393218b16f,5,15831.0,0.2,0.005231189654157529,1.0,0.6974176994075051,1.0,1.0,0.6974176994075051
0x05c1a240d17b2459b9bfe2ae4c7dd53db5031ddd,6,25801.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.6944444444444445
0x89e3fef686465c5d80fbf3a7836697b6fe7b27e0,6,35485.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6944444444444445
0x8aee85d04fbdc5411157ce752b7a8e40f1654eb7,5,13199.0,0.4,0.033197537721743706,1.0,0.6509189923905498,1.0,0.8233581119783352,0.6509189923905498
0xe0a3a46c7b83bc095eed18a92c6b434c9f2b3b62,26,34693.0,0.0,0.0,0.8076923076923077,0.8021898277796685,1.0,0.9636291355877911,0.6479225532066554
0x886c35eaa1b6f009bd59d189d0c9f754cb33f926,10,26288.0,0.0,0.0,0.8,0.8,1.0,1.0,0.6400000000000001
0xf2869ecbe81e6b89214a0ebf0a0625e97a7d1852,5,32529.0,0.0,0.0,0.8,0.8,0.8,0.8,0.6400000000000001
0xe6dd90f6a27c37ddd733f4333378de8ddd94efad,6,40019.0,0.0,0.0,1.0,0.6285991377674627,1.0,1.0,0.6285991377674627
0xecc391e0de3f730693c5ee71aa40f451eab5a470,14,2631.0,0.7857142857142857,0.0,1.0,0.5915758082657667,1.0,0.667107627393813,0.5915758082657667
0x9ec7be063b58245236db86da154e831c65fe8d1b,12,31216.0,0.0,0.0,0.75,0.75,1.0,0.993276364599894,0.5625
0x3302c2375019fbb671dbfec5c3a723e6715116cb,5,5772.0,0.2,0.18754057428214732,0.8,0.6965591255025754,0.8,0.6969415346803955,0.5572473004020603
0x990dcf61bc7886d81c5f1d522eb306e4ce1e694b,6,24529.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4444444444444444
0xf8757e589035187019db148ae1ab6456f82aaf4c,5,53090.0,0.0,0.0,0.8,0.5483335804786166,1.0,1.0,0.43866686438289326
0x2a02646eaa011b5e1be874803370fc6aa6400435,11,3055.0,0.5454545454545454,0.34534684006238775,0.9090909090909091,0.45687982903172775,0.9090909090909091,0.48473593271377863,0.4153452991197525
0x78ba3c00e9f4a14a10ae046d33a190fd00a82137,7,49461.0,0.0,0.0,0.7142857142857143,0.5758906847094931,1.0,1.0,0.41135048907820937
0x407e9cd1e02e896de5db9ea4a4c352ac547f2131,5,25502.0,0.0,0.0,0.6,0.6,0.6,0.6,0.36
0x0368ebb75dee91fe85ea3296f18433367cea0d7e,5,22240.0,0.0,0.0,0.6,0.6,0.8,0.8,0.36
0x20e07ce51a6143108b8787517a7a90b4be746d12,7,4505.0,0.5714285714285714,0.0,1.0,0.3146905028994023,1.0,1.0,0.3146905028994023
0x9352194a7f3c2c197cd0a29c81f0bb03f6de2c06,6,51790.0,0.0,0.0,0.6666666666666666,0.4466082009714669,0.8333333333333334,0.7643709169756191,0.2977388006476446
0x9185b40d47770a2b47284ff21c46344d2788c416,6,58923.0,0.0,0.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.25
